Q29,Q29_TEXT,Q10,Q11,Q12,Q14,Q31,Q15,Q16,Q17,Q18,Q19,Q28,Q20,Q20_TEXT,Q21,Q22,Q22_TEXT
United States, ,22,Female,1,High school/GED,Yes,HBC clerk,"Stock Clerks, Sales Floor",Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,38,African American, 
United States, ,43,Female,1,4-year degree,Yes,Eligibility Worker,"Eligibility Interviewers, Government Programs",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"29,307",40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,35,Female,5,2-year degree,Yes, cashier,"41-2011.00	Cashiers",Part-time,Private (for-profit) sector,Yes,No,American Dollar,14000,25,Caucasian, 
United States, ,26,Female,4,2-year degree,Yes,Cashier,The web site was not working for me.,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Male,5,High school/GED,Yes,QA tester,Software Quality Assurance Engineers and Testers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"50,000",40,Caucasian, 
United States, ,29,Female,3,4-year degree,Yes,Editor,27-3041.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"39,000",45,Caucasian, 
United States, ,26,Male,3,4-year degree,No,marketing manager,marketing manager,Full-time,Private (for-profit) sector,No,No,I'd rather not say, ,40,Asian, 
 , , , , , , , , , , , , , , , , , 
 , ,50,Female,4,2-year degree, ,Business Office Associate,13-1199.00,Full-time,Private (for-profit) sector,Yes, , , ,36,Caucasian, 
Canada, ,31,Male,6,High school/GED,Yes,Head Graphic Designer,27-1024.00 - Graphic Designers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,25000,40,African American, 
United States, ,37,Female,0,4-year degree,Yes,Work from home, ,Part-time,Private (for-profit) sector,No,Yes,I'd rather not say, ,50,Caucasian, 
United States, ,37,Male,3,4-year degree,Yes,Communications Engineer,Telecommunications Engineering Specialists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"69,000",50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Male,3,4-year degree,Yes,Electrical Engineer,Electrical Engineers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,85000,50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,22,Male,3,4-year degree,Yes,pharmacy intern,pharmacists,Part-time,Private (for-profit) sector,Yes,No,American Dollar,15000,15,Caucasian, 
United States, ,23,Male,2,High school/GED,Yes,Data Entry,Data Entry keyers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,21600,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,47,Female,20,4-year degree,Yes,Teacher,Mathematical Science Teacher:  code 25-1022.00,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,75000,40,African American, 
United States, ,29,Male,0.5,High school/GED,Yes,Rural Mail Carrier,43-5052.00 - Postal Service Mail Carriers,Part-time,Private (for-profit) sector,No,No,I'd rather not say, ,20-30,Caucasian, 
United States, ,37,Male,4,4-year degree,Yes,HOMS Coordinator,Compliance Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"50,000",40,Hispanic, 
United States, ,45,Female,2,Masters or equivalent,Yes,Gifted Resource Teacher,Teachers and Instructors,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,23000,20,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Male,4,4-year degree,Yes,Cashier,cashier,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,40,Asian, 
United States, ,27,Female,2,Masters or equivalent,Yes,School Psychologist,School Psychologists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,39000,38,Caucasian, 
United States, ,39,Female,11,High school/GED,Yes,manager,food service manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,15336,40,Caucasian, 
United States, ,23,Male,5,4-year degree,Yes,Supervisor,First-Line Supervisors of Retail Sales Workers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"38,000",40,African American, 
United States, ,27,Male,3,High school/GED,Yes,Information Systems Analyst,Computer Systems Analyst,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"48,000",40,Caucasian, 
United States, ,55,Female,19,2-year degree,Yes,bookkeeper,"Bookkeeping, Accounting, and Auditing Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,45000,40,Native American, 
United States, ,23,Female,1,High school/GED,Yes,AT&T Chat Agent,Production Worker,Full-time,Private (for-profit) sector,Yes,No,American Dollar,19200,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,43,Female,12,Ph.D. or equivalent,Yes,Associate Professor,"25-1126.00  Philosophy and Religion Teachers, Postsecondary",Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,45,Caucasian, 
United States, ,25,Male,1,4-year degree, ,Stockboy,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",Part-time,Private (for-profit) sector,Yes,No,American Dollar,20000,30,Caucasian, 
United States, ,28,Female,4,Masters or equivalent,Yes,Park Interpreter,Park Naturlists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,32000,45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,28,Male,3,2-year degree,Yes,Sales Manager,Sales Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,50000,55,Caucasian, 
United States, ,29,Male,2,High school/GED,Yes,foreman,"47-2081.00	Drywall and Ceiling Tile Installers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"55,000",70,Caucasian, 
Canada, ,37,Male,7,4-year degree,Yes,manager,"11-1021.00	General and Operations Managers",Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,43,Female,1,2-year degree,Yes,Store Manager,41-1011.00,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"14,000",20,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,39,Female,8,Masters or equivalent,Yes,clinical research associate,clinical research coordinator,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"44,000",40,Caucasian, 
United States, ,33,Female,6,Masters or equivalent,Yes,designer,"17-3011.01 	Architectural Drafters",Full-time,Private (for-profit) sector,Yes,No,American Dollar,48500,50,Asian, 
United States, ,32,Female,12,High school/GED,Yes,Patient Registration,Patient Representatives,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,20500,20,Caucasian, 
United States, ,29,Female,3,4-year degree,Yes,Bartender,Bartenders,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"30,000",30-35,Caucasian, 
United States, ,29,Female,1,Masters or equivalent,Yes,Merchandiser,Merchandise Displayers and Window Trimmers,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,20,Caucasian, 
United States, ,28,Male,2,Masters or equivalent,Yes,computer scientist,Computer and Information Research Scientists,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,African American, 
United States, ,23,Female,1,High school/GED,Yes,esthetician,esthetician,Part-time,Private (for-profit) sector,Yes,No,American Dollar,35000,25,Caucasian, 
United States, ,23,Male,4,High school/GED,Yes,mechanic,49-3023.00,Part-time,Private (for-profit) sector,Yes,No,American Dollar,25000,20,Caucasian, 
United States, ,42,Female,14,High school/GED,Yes,secretary/tech,secretary tech,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar, ,48,Caucasian, 
United States, ,26,Female,2,Masters or equivalent,Yes,Instructor of Kinesiology,"Recreation and Fitness Studies Teachers, Postsecondary",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"44,000",40,Caucasian, 
United States, ,38,Female,2,Masters or equivalent,Yes,teacher,Secondary School Teacher,Full-time,Private (for-profit) sector,Yes,No,American Dollar,60000,40,Caucasian, 
United States, ,38,Male,6,High school/GED,Yes,line cook,"cooks,fast food",Full-time,Private (for-profit) sector,Yes,No,American Dollar,27000,45,Caucasian, 
United States, ,54,Male,16,Masters or equivalent,Yes,artist,"fine artists, including painters, sculptors, and illustrators",Full-time,Private (for-profit) sector,No,Yes,American Dollar,3000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,25,Male,2,4-year degree,Yes,cashier,41-2011.00 - Cashiers,Part-time,Private (for-profit) sector, ,Yes,American Dollar,12000,30,Hispanic, 
 , , , , , , , , , , , , , , , , , 
United States, ,35,Female,2,Ph.D. or equivalent,Yes,Contracts Specialist,Lawyer,Full-time,Private (for-profit) sector,Yes,No,American Dollar,62000,44,Hispanic, 
United States, ,28,Male,7,High school/GED,Yes,Computer Tech,Computer User Support Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,53,Female,8,High school/GED,Yes,Advertising Account Executive,Advertising Sales Agents,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"50,000",45,Caucasian, 
United States, ,53,Male,28,4-year degree,Yes,sir computer tech 2,Command and Control Center Specialists,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,37,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,41,Male,3,High school/GED,Yes,transportation,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Full-time,Private (for-profit) sector,Yes,No,American Dollar,77000,40,Caucasian, 
United States, ,22,Female,0.5,High school/GED,Yes,administrative assistant,Receptionists and Information Clerks,Part-time,Private (for-profit) sector,Yes,No,American Dollar,20000,15,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,35,Male,5,4-year degree,Yes,instructional specialist,Instructional Coordinators,Part-time,Private (for-profit) sector,Yes,No,American Dollar,35000,55,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,41,Male,14,4-year degree,Yes,Library Tech,Library Technicians,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,23500,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,31,Male,5,Masters or equivalent,Yes,Systems Administrator,Network and Computer Systems Administrators,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,60000,40,Caucasian, 
United States, ,30,Male,3,Masters or equivalent,Yes,Manufacturing Engineer,Manufacturing Engineers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,55000,40,Indian, 
United States, ,20,Female,1,High school/GED,Yes,Humane Education Intern,Health Educators,Part-time,Public (not-for-profit) sector,No,Yes,I'd rather not say, ,8,Caucasian, 
United States, ,22,Male,2,2-year degree,Yes,Sales person,Retail Salespersons,Part-time,Private (for-profit) sector,Yes,No,American Dollar,22000,40,African American, 
United States, ,52,Female,3,4-year degree,Yes,administrative assistant,43-6014.00,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,15000,40,Caucasian, 
United States, ,35,Female,7,4-year degree,Yes,Clerk,"43-9061.00	Office Clerks, General",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,35000,37.5,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Female,1,4-year degree,Yes,Paint Studio Assistant,"Fine Artists, Including Painters, Sculptors, and Illustrators",Part-time,Private (for-profit) sector,Yes,No,American Dollar,"4,000",10,Caucasian, 
United States, ,31,Female,10,2-year degree,Yes,assistant manager,First-Line Supervisors of Retail Sales Workers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"75,000",39,Caucasian, 
United States, ,34,Female,5,2-year degree,Yes,OFFICE MANAGER,Compensation and Benefits Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,40000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,27,Female,3,4-year degree,Yes,Chief Operating Officer,Chief Executive,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"105,000",50,Caucasian, 
United States, ,30,Male,3,High school/GED,Yes,Sales Associate,41-4011.00,Part-time,Private (for-profit) sector,No,No,American Dollar,15000,30,Caucasian, 
United States, ,32,Female,9,4-year degree,Yes,Chemist,Chemists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,40000,40,Caucasian, 
United States, ,44,Female,7,2-year degree,Yes,Lead Compounding Pharmacy Technician,Pharmacy Technicians,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,African American, 
United States, ,24,Male,1,High school/GED,Yes,Customer Service Representative,Customer Service Representatives,Part-time,Private (for-profit) sector,Yes,No,American Dollar,16000,30,Caucasian, 
United States, ,34,Male,12,High school/GED,Yes,Presentation Manager,General and Operations Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"42,000",40,Caucasian, 
United States, ,35,Male,1,4-year degree,Yes,Consultant,13-1131.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"$50,00",40,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,37,Female,3,High school/GED,Yes,Paraprofessional,"25-2052.00    Special Education Teachers, Kindergarten and Elementary Schools",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"13,000",34,Caucasian, 
United States, ,41,Female,3.5,High school/GED,Yes,medical biller,"Billing, cost and rate clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,23000,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,23,Female,1,4-year degree,Yes,Production Intern,Helpers--Production Workers,Part-time,Private (for-profit) sector,No,Yes,I'd rather not say, ,16,Caucasian, 
United States, ,58,Male,2,High school/GED,Yes,cashier,41-2011.00,Part-time,Private (for-profit) sector,Yes,No,American Dollar,11000,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,24,Male,2,High school/GED,No,Banquet CSU,35-2014.00,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,50,Caucasian, 
United States, ,30,Male,5,High school/GED,Yes,stamp press tech,http://www.onetonline.org/find/match/1/51-4031.00?s=stamp%20press,Part-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,44,Female,26,2-year degree,Yes,order entry,43-4151.00,Full-time,Private (for-profit) sector,No,No,American Dollar,400,39,African American, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,48,Female,13,Masters or equivalent,Yes,teacher,"Secondary School Teachers, Except Special and Career/Technical Education",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,70000,40,Caucasian, 
United States, ,31,Male,8,High school/GED,Yes,IT Manager,15-1199.09,Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,42,Caucasian, 
United States, ,62,Female,0,Masters or equivalent,Yes,freelance artist,Graphic Designer,Part-time,Private (for-profit) sector,No,Yes,American Dollar,"12,000",30,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,31,Female,1,Masters or equivalent,Yes,stay at home mom, ,Full-time,Public (not-for-profit) sector,No,Yes,I'd rather not say, ,0,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Female,2,Masters or equivalent,Yes,part-time university professor,"Philosophy and Religion Teachers, Postsecondary",Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,15,Caucasian, 
United States, ,20,Female,2,4-year degree,Yes,Sales Associate,41-2031.00 - Retail Salespersons,Part-time,Private (for-profit) sector,Yes,No,American Dollar,9.35,17,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,32,Female,2,4-year degree,Yes,producer,Producers,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Indian, 
 , , , , , , , , , , , , , , , , , 
United States, ,23,Female,1,4-year degree,Yes,Tax Professional,Tax Preparer,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"14,000",32,Other:,Biracial
United States, ,29,Male,3,4-year degree,Yes,Admissions coordinator,Admissions coordinator,Full-time,Private (for-profit) sector,Yes,No,American Dollar,38000,41,Caucasian, 
United States, ,29,Female,9,High school/GED,Yes,Night Audit,"Hotel, Motel, and Resort Desk Clerks  Bright Outlook",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"24,000",40,Caucasian, 
United States, ,41,Female,3,Masters or equivalent,Yes,sales rep,41-4012.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,45000,40,Caucasian, 
United States, ,37,Male,3,2-year degree,No,Waiter,Waiter,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,31,Male,2,2-year degree,Yes,opperations manager,11-9199.07,Full-time,Private (for-profit) sector,Yes,No,American Dollar,42000,45,Caucasian, 
United States, ,34,Male,3,4-year degree,Yes,CAD Operator,Mechanical drafter,Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,43,Caucasian, 
United States, ,21,Female,1,4-year degree,Yes,server,"35-3041.00 Food Servers, Nonrestaurant",Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,20,Caucasian, 
United States, ,36,Male,13,4-year degree, ,Cytogenetic Technologist,Cytogenetic Technologists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"60,000",40,Caucasian, 
United States, ,30,Female,5,2-year degree,Yes,teacher,preschool teacher,Full-time,Private (for-profit) sector,Yes,No,American Dollar,50000,40,Caucasian, 
United States, ,33,Female,10,Masters or equivalent,Yes,7th grade teacher,"25-2022.00 	Middle School Teachers, Except Special and Career/Technical Education",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"45,000",45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,29,Female,6,High school/GED,Yes,In-home aide-care provider,Home Health Aides,Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,30,Caucasian, 
United States, ,27,Female,4,4-year degree,Yes,therapist,occupational therapist,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,70000,40,African American, 
United States, ,36,Female,7,4-year degree,Yes,Manager,"Appraisers, real estate",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"125,000",45,Caucasian, 
United States, ,45,Male,5,4-year degree,Yes,Public Information,Public Relations Specialists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"50,000",40,Caucasian, 
United States, ,27,Male,1,4-year degree,Yes,Construction Administrator,11-9021.00 Contruction Managers,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,26,Male,10,4-year degree,Yes,admissions director,program directors,Full-time,Private (for-profit) sector,Yes,No,American Dollar,50000,50,Caucasian, 
Canada, ,26,Female,1,High school/GED,Yes,Server,Waiters and Waitresses,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,30,Caucasian, 
United States, ,28,Male,5,4-year degree,Yes,Special Education TEacher,"Special Education Teachers, Kindergarten and Elementary School",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,38000,40,Caucasian, 
United States, ,23,Male,4,Masters or equivalent,Yes,gf,r,Full-time,Private (for-profit) sector,Yes,Yes,American Dollar,2345454,5,Asian, 
United States, ,53,Female,5,Masters or equivalent,Yes,Museum collections manager,25-4013.00 - Museum Technicians and Conservators,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,32000,40,Caucasian, 
United States, ,25,Male,5,High school/GED,Yes,In field systems repair tech and tech manager,11-3021.00 - Computer and Information Systems Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,22000,35,Caucasian, 
United States, ,55,Female, ,4-year degree,Yes, , , , ,Yes,No,I'd rather not say, , ,Caucasian, 
United States, ,50,Female,7,High school/GED,Yes,cook,35-3041.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,28000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Female,7,High school/GED,Yes,MANAGER, General and Operations Managers,Part-time,Private (for-profit) sector,Yes,No,American Dollar,7500,15,Caucasian, 
United States, ,26,Male,1,2-year degree,Yes,Shift Manager,Food Server,Full-time,Private (for-profit) sector,Yes,No,American Dollar,18000,40,Caucasian, 
United States, ,24,Male,2,4-year degree,Yes,Hospitality Analyst,Management Analysts,Full-time,Private (for-profit) sector,Yes,No,American Dollar,30k,40,Caucasian, 
United States, ,19,Male,1,High school/GED,No,Cashier,Cashier,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"10,000",30,African American, 
United States, ,29,Male,6,4-year degree,Yes,Billing Coordinator,"Billing, Cost, and Rate Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"52,000",50,Asian, 
United States, ,39,Female,4,4-year degree,Yes,Administrative Support Assistant,"Secretaries and Administrative Assistants, except Legal, Medical and Executive",Part-time,Private (for-profit) sector,Yes,No,American Dollar,34675,40,Caucasian, 
United States, ,35,Female,2,2-year degree,Yes,lpn,"29-2061.00	Licensed Practical and Licensed Vocational Nurses",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"35,000",40,Caucasian, 
United States, ,29,Female,7,2-year degree,Yes,Training Manager,"11-3131.00 	Training and Development Managers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,40500,50,Caucasian, 
United States, ,27,Male,3,4-year degree,Yes,Software Engineer,"Software Developers, Systems Software",Full-time,Private (for-profit) sector,Yes,No,American Dollar,70000,40,Caucasian, 
United States, ,54,Female,12,4-year degree,Yes,bank teller,43-3071.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,39000,36,Caucasian, 
United States, ,29,Male,1.4,4-year degree,Yes,baker,Bakers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"21,000",48,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,35,Male,2,4-year degree,No,waiter,Waiters and Waitresses,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,20000,40,Asian, 
United States, ,33,Female,5,High school/GED,Yes,Residential Counselor,Residential Advisors,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"28,500",45,Caucasian, 
United States, ,31,Female,1,2-year degree,Yes,Homemaker,Personal Care Aide,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,63000,168,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,47,Female,9,High school/GED,Yes,meter operator,"Mail Clerks and Mail Machine Operators, Except Postal Service",Full-time,Private (for-profit) sector,Yes,No,American Dollar,23000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,46,Male,6,2-year degree,Yes,Collections Specialist,Tax Examiners and Collectors and Revenue Agents,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,43,Male,3,4-year degree,Yes,Supervisor,First-Line Supervisors of Non-Retail Sales Workers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,52000,37.5,Caucasian, 
United States, ,35,Female,6,4-year degree,Yes,Cashier,Cashier,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"14,000",28,Caucasian, 
United States, ,35,Female,4,2-year degree,Yes,Commercial Loan Documentation Specialist II,Loan Officers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,41000,40,Caucasian, 
United States, ,27,Male,10,Masters or equivalent,Yes,Buyer,11-3061.00 - Purchasing Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,40000,40,Caucasian, 
United States, ,26,Female,5,4-year degree,Yes,Operational Planner,business continuity planners,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,21,Female,2,High school/GED,Yes,Receptionist,"Office clerks, general",Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,30,Male,1.5,Masters or equivalent,Yes,Senior Plans Review Technician,Architectural Drafters,Full-time,Public (not-for-profit) sector,No,No,American Dollar,"62,000",40,Caucasian, 
United States, ,42,Female,1,Masters or equivalent,Yes,careguver,Home Health Aides,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"15,000",20,Caucasian, 
 , ,23,Male,5,High school/GED, ,QA Tester,Software Quality Assurance Engineers and Testers,Full-time,Private (for-profit) sector,Yes, , , ,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,19,Male,2,2-year degree,Yes,Server,Waiters and Waitresses,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"10,000",40,Hispanic, 
