Self-Reported Job Title,O*NET Occupation Title,O*NET Job Code,O*NET Job Complexity (5-point scale),Impact of Decisions,Consequences of Error,Responsibility for Others,Unstructured (vs. Structured) Work,Freedom to Make Decisions,Independence in Completing Work,Attention to Detail,Social Skills,Level of Competition,Innovation,Dealing With Unpleasant or Angry People 
Program Coordinator,"Education Administrators, Postsecondary",11-9033.00,5,80,30,56,93,94,74,79,61,58,74,48
Assistant Director,"Education Administrators, Postsecondary",11-9033.00,5,80,30,56,93,94,74,79,61,58,74,48
campus supervisor,"Education Administrators, Postsecondary",11-9033.00,5,80,30,56,93,94,74,79,61,58,74,48
admin assistant,"Education Administrators, Postsecondary",11-9033.00,5,80,30,56,93,94,74,79,61,58,74,48
Administrator,"Education Administrators, All Other",11-9039.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
freelance,Wellness Coordinator,11-9039.02,4,58,14,62,86,80,72,74,61,55,71,47
Engineering Apprentice,Architectural and Engineering Managers,11-9041.00,5,67,43,54,87,87,79,91,6,57,67,45
project manager,Architectural and Engineering Managers,11-9041.00,5,67,43,54,87,87,79,91,6,57,67,45
manager,food service manager,11-9051.00,3,80,41,75,77,77,67,87,56,64,64,66
Kitchen manager,Food Service Managers,11-9051.00,3,80,41,75,77,77,67,87,56,64,64,66
Operations Manager and Secretary,Lodging Managers and File Clerks,11-9081.00,3,92,24,84,84,85,77,83,50,63,64,73
Research Coordinator,Clinical Research Coordinator,11-9121.01,4,63,39,30,82,84,71,91,17,61,55,34
Clinical Research Associate,Clinical Research Coordinators,11-9121.01,4,63,39,30,82,84,71,91,17,61,55,34
Property Manager,"Property, Real Estate, and Community Association Managers",11-9141.00,4,82,40,60,81,78,73,88,45,53,62,69
Property Manager,"Property, Real Estate, and Community Association Managers",11-9141.00,4,82,40,60,81,78,73,88,45,53,62,69
Property manager,"Property, Real Estate, and Community Association Managers",11-9141.00,4,82,40,60,81,78,73,88,45,53,62,69
office manager,"Property, Real Estate, and Community Association Managers",11-9141.00 ,4,82,40,60,81,78,73,88,45,53,62,69
Outreach Specialist,Social and Community Service Manager,11-9151.00,4,88,70,60,77,83,87,83,83,41,71,62
Volunteer Coordinator,Social and Community Service Managers,11-9151.00,4,88,70,60,77,83,87,83,83,41,71,62
Assistant Regional Manager,Social and Community Service Managers,11-9151.00,4,88,70,60,77,83,87,83,83,41,71,62
Program Manager,Social and Community Service Managers,11-9151.00,4,88,70,60,77,83,87,83,83,41,71,62
Sr. Manager Finance,Compliance Manager,11-9199.02,4,87,33,74,80,91,60,91,11,52,51,52
HOMS Coordinator,Compliance Managers,11-9199.02,4,87,33,74,80,91,60,91,11,52,51,52
MANAGER/COMPLIANCE OFFICER,Compliance Managers,11-9199.02 ,4,87,33,74,80,91,60,91,11,52,51,52
Director,Investment Fund Managers,11-9199.03,5,84,69,16,88,88,68,85,28,89,59,41
Supply Chain Cordinator,Supply Chain Managers,11-9199.04,4,76,52,51,82,87,64,84,22,68,63,45
Supply Technician,Supply Chain Managers,11-9199.04,4,76,52,51,82,87,64,84,22,68,63,45
opperations manager,Security Managers  ,11-9199.07,4,84,73,91,78,83,74,84,6,59,68,63
Retail,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,3,81,54,35,88,85,71,79,22,60,65,55
Compliance Officer,Compliance Officers,13-1041.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estimator,Cost Estimator,13-1051.00,4,72,39,20,72,74,71,95,6,70,62,31
Resource Coordinator,Human Resource Manager,13-1071.00,4,76,44,56,87,84,85,94,50,42,71,64
HR Specialist,Human Resources Specialists,13-1071.00,4,76,44,56,87,84,85,94,50,42,71,64
HR Specialist,Human Resources Specialists,13-1071.00,4,76,44,56,87,84,85,94,50,42,71,64
Logistics Coordinator,Logistician,13-1081.00,4,69,29,67,85,99,62,89,39,63,78,47
Program Control Analyst,Management Analyst,13-1111.00,4,78,55,46,86,81,74,79,22,43,72,43
senior analyst,Management Analysts,13-1111.00,4,78,55,46,86,81,74,79,22,43,72,43
Hospitality Analyst,Management Analysts,13-1111.00,4,78,55,46,86,81,74,79,22,43,72,43
Analyst,Management Analysts,13-1111.00,4,78,55,46,86,81,74,79,22,43,72,43
Inventory Management Specialist,Management Analyst,13-1111.00,4,78,55,46,86,81,74,79,22,43,72,43
Event Manager,"Meeting, Convention, and Event Planners",13-1121.00,4,76,41,42,85,83,68,93,56,43,60,58
Event Manager,"Meeting, Convention, and Event Planners",13-1121.00,4,76,41,42,85,83,68,93,56,43,60,58
Consultant,Fundraisers,13-1131.00,4,75,32,26,85,88,77,88,39,61,61,36
BENEFITS ANALYST,"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,4,66,40,25,86,83,66,84,28,45,68,38
Deflined Benefit Pension Consultant,"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,4,66,40,25,86,83,66,84,28,45,68,38
project coach,Training and Development Specialists,13-1151.00,4,58,27,34,75,80,77,83,95,50,74,40
Technical Writer (I write training for skill acquisition programs using task analysis/methodologies for people with learning disabilities),Training and Development Specialists,13-1151.00,4,58,27,34,75,80,77,83,95,50,74,40
E-Learning Developer,Training and Development Specialists,13-1151.00,4,58,27,34,75,80,77,83,95,50,74,40
internet researcher,Market Research Analysts and Marketing Specialists,13-1161.00,4,64,31,17,83,87,80,91,6,63,73,33
Creative Marketing specialist,Market Research Analysts and Marketing Specialists,13-1161.00,4,64,31,17,83,87,80,91,6,63,73,33
BUSINESS OWNER,business operations specialist,13-1199.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Business Office Associate,"Business Operations Specialists, All Other",13-1199.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Operational Planner,business continuity planners,13-1199.04,4,80,46,64,85,84,71,85,11,59,62,46
home business,Online Merchants,13-1199.06,4,77,29,42,84,90,75,86,22,59,71,55
Owner/CEO,Online Merchants,13-1199.06,4,77,29,42,84,90,75,86,22,59,71,55
Owner,Online Merchants,13-1199.06,4,77,29,42,84,90,75,86,22,59,71,55
e-commerce manage,Online Merchants,13-1199.06,4,77,29,42,84,90,75,86,22,59,71,55
Accountant,Accountants,13-2011.01,4,69,31,39,90,80,78,95,11,54,67,38
Accountant,Accountants,13-2011.01,4,69,31,39,90,80,78,95,11,54,67,38
Staff Accountant,Accountants,13-2011.01,4,69,31,39,90,80,78,95,11,54,67,38
Accountant,Accountants,13-2011.01,4,69,31,39,90,80,78,95,11,54,67,38
Staff II Auditor,Auditor,13-2011.02,4,65,33,23,70,73,73,93,17,65,53,44
Financial advisor,credit analysts,13-2041.00,4,69,30,18,70,65,67,88,33,44,40,50
Credit Risk Analyst,Credit Analysts,13-2041.00,4,69,30,18,70,65,67,88,33,44,40,50
Credit Manager,Credit Analysts,13-2041.00,4,69,30,18,70,65,67,88,33,44,40,50
analyst,Financial Analysts,13-2051.00,4,72,36,26,95,85,60,99,0,68,55,40
Financial Analyst,Financial Analysts,13-2051.00,4,72,36,26,95,85,60,99,0,68,55,40
banker,Personal Financial Advisors ,13-2052.00,4,79,54,27,72,71,69,86,45,78,54,31
,Personal Financial Advisors,13-2052.00,4,79,54,27,72,71,69,86,45,78,54,31
Personal Banker,Personal Financial Advisors,13-2052.00,4,79,54,27,72,71,69,86,45,78,54,31
Loan Processor,Loan Officers,13-2072.00,3,85,54,22,83,91,75,85,50,75,66,39
Commercial Loan Documentation Specialist II,Loan Officers,13-2072.00,3,85,54,22,83,91,75,85,50,75,66,39
Tax Auditor,"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,3,84,52,38,71,78,86,86,39,45,69,69
Collections Specialist,Tax Examiners and Collectors and Revenue Agents,13-2081.00,3,84,52,38,71,78,86,86,39,45,69,69
Tax Professional,Tax Preparer,13-2082.00,3,80,51,19,83,75,69,96,28,61,39,43
Risk Management Analyst,Risk Management Specialists,13-2099.02,4,77,50,37,82,74,74,91,6,67,66,36
computer scientist,Computer and Information Research Scientists,15-1111.00,5,83,61,30,89,88,87,73,0,69,77,39
Information Systems Analyst,Computer Systems Analyst,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
System Application Analyst,Computer Systems Analyst,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
Computer Analyst,Computer Systems Analysts,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
Telephone systems analyst,Computer Systems Analysts,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
Systems Analyst,Computer Systems Analysts,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
analyst,Computer Systems Analysts ,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
IT Business Analyst,Computer Systems Analysts ,15-1121.00,4,68,56,21,72,75,75,95,17,62,84,27
Tech,Information Security Analysts,15-1122.00,4,80,49,21,77,78,63,83,22,46,63,36
Programmer,Computer Programmers,15-1131.00,4,57,41,24,63,56,69,83,17,57,69,35
Sr. Computer Consultant,Computer Programmers,15-1131.00,4,57,41,24,63,56,69,83,17,57,69,35
Computer Programmer,Computer Programmers,15-1131.00,4,57,41,24,63,56,69,83,17,57,69,35
Programmer,Computer Programmers,15-1131.00,4,57,41,24,63,56,69,83,17,57,69,35
Software Developer,"Software Developers, Applications",15-1132.00,4,73,43,23,75,76,71,84,0,63,76,28
Software Design Engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
embedded firmware engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Software Engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
IT Consultant,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Software Development Manager,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
software engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Software Engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Software Engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Senior Developer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Software Engineer,"Software Developers, Systems Software",15-1133.00,4,58,41,34,76,78,77,91,22,65,78,39
Contractor - Web Design,Web developer,15-1134.00,3,41,14,74,77,72,72,90,0,66,74,38
Web Designer,Web Developers,15-1134.00,3,41,14,74,77,72,72,90,0,66,74,38
Web Development Intern,Web Developers,15-1134.00,3,41,14,74,77,72,72,90,0,66,74,38
web designer,Web Developers,15-1134.00,3,41,14,74,77,72,72,90,0,66,74,38
Data Entry Specialist,Database Administrator,15-1141.00,4,47,51,17,84,82,74,87,22,35,76,39
Resource Desk Coordinator,Database Administrator,15-1141.00,4,47,51,17,84,82,74,87,22,35,76,39
Administrative Systems Coordinator,Database Administrator,15-1141.00,4,47,51,17,84,82,74,87,22,35,76,39
IT administrator,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Technology Support Specialist,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
UNIX Systems Administrator,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Systems Administrator,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Systems Administrator,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Computer tech,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Technical Support Analyst - Tier 2,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Network Administrator,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
Network Admin,Network and Computer Systems Administrators,15-1142.00,4,61,57,32,82,76,46,92,17,50,60,43
software developer III,Computer Network Architects,15-1143.00,4,75,42,28,83,80,71,89,17,56,61,35
Communications Engineer,Telecommunications Engineering Specialists,15-1143.01,3,71,52,54,75,77,78,93,6,57,77,47
Help Desk Support Specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Computer Specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Support Specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Technical Support Representative,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Desktop Support Specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
IT Specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
IT specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
IT Heldpesk Specialist,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
IT Support/ Technical services,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Technology Associate,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
help desk analyst,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Technical support,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Desktop Support,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
system support specialist sr,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Computer Tech,Computer User Support Specialists,15-1151.00,3,65,41,29,87,85,70,84,56,52,59,52
Tech support, Computer User Support Specialists ,15-1151.00 ,3,65,41,29,87,85,70,84,56,52,59,52
Computer Network Support,Computer Network Support Specialist,15-1152.00,4,69,57,35,83,82,75,87,6,49,72,44
IT Consultant,Computer Network Support Specialist,15-1152.00,4,69,57,35,83,82,75,87,6,49,72,44
Production Support Lead,Computer Network Support Specialists,15-1152.00,4,69,57,35,83,82,75,87,6,49,72,44
QA Tester,Software Quality Assurance Engineers and Testers,15-1199.01 ,4,61,39,15,74,77,66,89,0,55,58,44
QA tester,Software Quality Assurance Engineers and Testers,15-1199.01 ,4,61,39,15,74,77,66,89,0,55,58,44
Senior Data Analyst,Data Warehousing Specialists,15-1199.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A
Business Intelligence Analyst,Business Intelligence Analysts,15-1199.08,4,71,40,14,83,78,77,89,11,61,72,21
Data Operations Implementation Analyst,Business Intelligence Analysts,15-1199.08,4,71,40,14,83,78,77,89,11,61,72,21
IT Manager,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
manager,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
Project Lead,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
Project Manager,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
IT Team Lead,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
information technology support,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
module leader,Information Technology Project Managers,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
Project Manager,Information Technology Project Managers ,15-1199.09,4,73,49,39,79,81,61,83,17,64,58,48
Social Media Coordinator,Search Marketing Strategists,15-1199.10,4,73,41,16,83,83,77,96,11,73,81,25
Search Engine Optimizer,Search Marketing Strategists,15-1199.10,4,73,41,16,83,83,77,96,11,73,81,25
Actuary,Actuaries,15-2011.00,4,87,56,10,79,81,66,91,0,68,63,27
Systems Engineer I,Aerospace Engineers,17-2011.00,4,61,44,35,77,84,69,92,6,46,74,35
Process Engineer,Biomedical Engineers,17-2031.00,4,68,55,46,74,80,58,83,17,69,75,25
Senior Project Manager,Civil Engineers,17-2051.00,4,77,70,50,72,75,68,82,6,63,66,41
Engineer I,Civil Engineers,17-2051.00,4,77,70,50,72,75,68,82,6,63,66,41
plant engineer,Electrical Engineers,17-2071.00,4,71,46,40,77,80,70,86,0,48,64,24
Industrial Designer,Industrial Engineering,17-2112.00,4,80,52,65,82,82,77,93,6,39,79,48
Engineer,Mechanical Engineers,17-2141.00,4,72,52,49,90,87,74,93,17,64,91,49
Mechanical Engineer,Mechanical Engineers,17-2141.00 ,4,72,52,49,90,87,74,93,17,64,91,49
Production engineer Lead,Petroleum Engineer,17-2171.00,4,87,60,50,93,88,78,79,0,60,76,45
Manufacturing Engineer,Manufacturing Engineers,17-2199.04,4,70,58,78,78,81,76,88,0,57,79,51
Senior Plans Review Technician,Architectural Drafters,17-3011.01,4,61,33,20,68,74,65,94,6,48,77,30
designer,Architectural Drafters ,17-3011.01 ,4,61,33,20,68,74,65,94,6,48,77,30
CAD Operator,Mechanical drafter,17-3013.00,3,58,51,24,69,72,56,92,0,44,69,36
Environmental Engineer,Electronics Engineering Technicians,17-3023.01,3,65,44,68,81,89,72,86,0,45,66,32
electrical engineer planner,electrical engineering technologist,17-3029.02,4,78,64,54,87,92,77,91,6,47,69,44
Laboratory Technician III,Photonics Technicians,17-3029.08,3,66,64,65,64,71,62,89,0,52,64,30
researcher,biologist,19-1020.01,5,54,50,47,79,80,78,99,6,62,72,33
laboratory specialist,microbiologist,19-1022.00,5,60,59,78,80,82,68,88,11,66,75,30
Wildlife Biologist,Zoologists and Wildlife Biologists ,19-1023.00,5,74,32,60,81,66,66,79,11,62,61,48
Park Interpreter,Park Naturlists,19-1031.03,4,72,40,48,73,85,69,69,100,59,74,61
research chemist,Chemist,19-2031.00,4,68,57,61,77,75,68,86,0,39,64,29
chemist,Chemist,19-2031.00,4,68,57,61,77,75,68,86,0,39,64,29
Senior Chemist,Chemists,19-2031.00,4,68,57,61,77,75,68,86,0,39,64,29
Scientist,Chemists ,19-2031.00,4,68,57,61,77,75,68,86,0,39,64,29
Hydro-Tech III,Hydrologists ,19-2043.00,4,66,50,56,81,84,69,80,6,46,62,32
economist, Economists,19-3011.00,5,63,35,12,88,89,77,86,11,74,72,27
Psychotherapist,Counseling Psychologists,19-3031.03,5,80,61,47,94,98,73,72,89,45,64,55
Urban Planner,Urban and Regional Planners,19-3051.00,5,65,33,34,74,74,69,82,17,58,74,59
Policy Advisor,Political Scientist,19-3094.00,5,59,26,16,91,96,86,75,56,68,75,36
Research Associate,Social Science Research Assistants,19-4061.00,4,61,36,21,77,78,87,90,28,45,72,39
Sr. Lab Tech,Social Science Research Assistants,19-4061.00,4,61,36,21,77,78,87,90,28,45,72,39
Forensic Crime Scene Surveyor,Forensic Science Technicians,19-4092.00,4,87,77,60,88,88,82,97,6,37,69,53
lab technician,Forensic Science Technicians,19-4092.00,4,87,77,60,88,88,82,97,6,37,69,53
Quality Control Supervisor,Quality Control Analyst,19-4099.01,3,63,51,73,73,72,78,90,0,33,51,36
"Supervisor, Quality Control and Information Management",Quality Control Analyst,19-4099.01,3,63,51,73,73,72,78,90,0,33,51,36
QA Manager,Quality Control Analysts,19-4099.01,3,63,51,73,73,72,78,90,0,33,51,36
Quality Auditor,Quality Control Analysts,19-4099.01,3,63,51,73,73,72,78,90,0,33,51,36
quality control operations analyst,quality control analyst,19-4099.01,3,63,51,73,73,72,78,90,0,33,51,36
Adolescent substance abuse counselor,Substance Abuse and Behavioral Disorder Counselors,21-1011.00,5,81,54,51,81,88,78,87,100,44,65,79
Social Worker,Substance Abuse and Behavioral Disorder Counselors,21-1011.00,5,81,54,51,81,88,78,87,100,44,65,79
social worker,Healthcare Social Workers,21-1022.00,5,71,45,52,87,86,82,86,100,47,68,76
Healthcare Assistant,Healthcare Social Workers ,21-1022.00,5,71,45,52,87,86,82,86,100,47,68,76
Therapist II,Mental Health and Substance Abuse Social Workers,21-1023.00,5,80,49,56,73,83,77,77,100,34,66,66
Project Coordinator,Social and Human Service Assistants,21-1093.00,4,76,48,27,65,56,82,88,83,36,65,76
residential care worker,Social and Human Service Assistants,21-1093.00,4,76,48,27,65,56,82,88,83,36,65,76
visitation coordinator,Social and Human Service Assistants ,21-1093.00,4,76,48,27,65,56,82,88,83,36,65,76
Lightworker,Social and Human Service Assistants ,21-1093.00,4,76,48,27,65,56,82,88,83,36,65,76
Nutrition Representative,Community Health Workers ,21-1094.00,4,71,36,60,77,74,88,81,100,37,83,52
Co-FOunder,"Directors, Religious Activities and Education",21-2021.00,4,83,33,54,92,86,80,79,83,27,76,36
education consultant,"Directors, Religious Activities and Education",21-2021.00,4,83,33,54,92,86,80,79,83,27,76,36
Director of Youth Minsitry,"Directors, Religious Activities and Education",21-2021.00,4,83,33,54,92,86,80,79,83,27,76,36
Youth Director,"Directors, Religious Activities and Education",21-2021.00,4,83,33,54,92,86,80,79,83,27,76,36
lawyer,lawyers,23-1011.00,5,92,66,25,91,89,86,92,39,72,72,61
Contracts Specialist,Lawyers,23-1011.00,5,92,66,25,91,89,86,92,39,72,72,61
Attorney,Lawyers,23-1011.00,5,92,66,25,91,89,86,92,39,72,72,61
counsel,Lawyers,23-1011.00,5,92,66,25,91,89,86,92,39,72,72,61
law clerk,Judicial Law Clerks,23-1012.00,5,76,43,6,72,54,81,96,17,46,51,34
paralegal,Paralegals and Legal Assistants,23-2011.00,3,70,66,24,83,79,84,98,17,45,70,49
PARALEGAL,Paralegals and Legal Assistants,23-2011.00 ,3,70,66,24,83,79,84,98,17,45,70,49
paralegal,Paralegals and Legal Assistants,23-2011.00 ,3,70,66,24,83,79,84,98,17,45,70,49
Title Processor,"Title Examiners, Abstractors, and Searchers",23-2093.00,3,83,50,12,99,91,81,95,17,53,30,42
Teacher,Mathematical Science Teacher,25-1022.00,5,70,35,29,88,90,84,78,89,52,61,54
